LanguageIC,Entropy,LongestWord,SignatureNasty,SignatureSuperNasty,
0.030759651,5.182874785,27,2,0,1
0.036995823,5.476714465,60,0,0,1
0.03004861,5.846444111,77,1,0,1
0.059755358,5.740597178,230,1,0,1
0.070224767,5.70903455,104,3,0,1
0.027636492,5.419995577,109,0,0,1
0.029745282,5.581334072,74,8,0,1
0.028323111,6.718742571,213,0,0,1
0.018488138,7.209892495,213,1,0,1
0.024888644,5.691181008,45,0,0,0
0.022617701,5.662484837,39,0,0,0
0.028808623,5.60091965,122,0,0,0
0.024571052,5.865008524,78,0,0,0
0.033245628,5.261607704,42,0,0,0
0.032757904,5.489406359,41,0,0,0
0.029220346,5.630587311,89,0,0,0
0.026875724,5.638982405,46,0,0,0
0.031511618,5.561360444,63,0,0,0
0.027127305,5.666664681,51,0,0,0
0.02566873,5.906803413,83,0,0,0
0.030111972,5.643174842,151,0,0,0
0.023712536,6.056766009,116,0,0,0
0.022914218,6.096468901,116,0,0,0
0.021690429,6.073125507,162,0,0,0
0.025319878,5.78745326,124,0,0,0
0.030292564,5.869230139,87,0,0,0
0.028261398,6.018510964,96,0,0,0
0.031192548,5.976408529,84,0,0,0
0.026548066,5.968809211,84,0,0,0
0.024009695,5.451882743,30,0,0,0
0.021666523,6.132276443,130,0,0,0
0.122094958,4.77447215,20,0,0,0
0.047213779,4.658930729,14,0,0,0
0.032768488,5.051725461,18,0,0,0
0.05011922,4.578772908,13,0,0,0
0.027190457,5.326604371,47,0,0,0
0.034575705,5.541872333,41,0,0,0
0.04989054,5.3655888,14,0,0,0
0.018011477,6.172810109,220,0,0,0
0.043232508,5.378976634,47,0,0,0
0.021138324,6.247187281,80,0,0,0
0.022322581,5.399864347,12,0,0,0
0.033278324,5.303537296,58,0,0,0
0.028110751,5.793151493,123,4,0,0
0.033051043,5.8260156,43,0,0,0
0.036442944,5.299212196,25,0,0,0
0.033278324,5.303537296,58,0,0,0
0.094343557,5.079971283,44,0,0,0
0.108241508,5.776269402,83,0,0,0
0.032218434,5.82339523,108,0,0,0
0.078762011,5.518228646,61,0,0,0
0.025730207,5.995593162,191,0,0,0
0.030819209,5.886987882,307,0,0,0
0.028314512,5.674863492,143,0,0,0
0.024180704,5.947365965,115,0,0,0
0.038746113,5.165157571,79,0,0,0
0.044393673,4.878366116,38,0,0,0
0.041222424,4.83508024,38,0,0,0
0.040086082,5.054818254,39,0,0,0
0.040123221,4.988829967,49,0,0,0
0.034523968,5.168744485,60,0,0,0
0.038724275,5.084391468,59,0,0,0
0.042323206,4.960562191,45,0,0,0
0.038897333,5.188450068,39,0,0,0
0.041083873,4.942987935,50,0,0,0
0.040439649,4.842996623,30,0,0,0
0.041182911,4.996121073,34,0,0,0
0.03804967,4.780278232,21,0,0,0
0.035496689,4.891675668,28,0,0,0
0.045488001,4.903012851,35,0,0,0
0.039881166,5.056135395,53,0,0,0
0.035190616,4.952615663,23,0,0,0
0.044325851,4.884762552,32,0,0,0
0.041935944,4.959297872,27,0,0,0
0.037540272,5.164532412,55,0,0,0
0.042206143,5.02630031,35,0,0,0
0.040941899,4.987062444,38,0,0,0
0.041897843,4.930344073,60,0,0,0
0.040126231,5.058113963,27,0,0,0
0.045422279,4.991775388,35,0,0,0
0.03941058,5.108033733,39,0,0,0
0.040967091,4.967299124,43,0,0,0
0.047653505,4.900351254,49,0,0,0
0.040012479,5.043770668,56,0,0,0
0.043270989,5.042163476,29,0,0,0
0.044480685,4.960506171,35,0,0,0
0.04034918,5.044759484,34,0,0,0
0.019428318,6.260117982,302,0,0,0
0.0293727,5.824307729,63,0,0,0
0.019823654,6.163211987,213,0,0,0
0.025617904,5.903881949,54,0,0,0
0.016699978,6.166294798,79,0,0,0
0.022334888,6.073945031,134,0,0,0
0.021545982,6.032677566,102,0,0,0
0.020756044,6.20584179,109,0,0,0
0.022056432,6.00220091,69,0,0,0
0.028775621,5.917479777,108,0,0,0
0.026631347,5.9696965,87,0,0,0
0.02919708,5.243538383,21,0,0,0
0.02045221,5.516675525,28,0,0,0
0.034849279,5.727437051,39,0,0,0
0.024244468,5.726430527,28,0,0,0
0.021537881,6.135964831,143,0,0,0
0.026182013,5.595899056,24,0,0,0
0.03099775,5.714423768,48,0,0,0
0.030458106,5.718098525,69,0,0,0
0.019593466,6.252080435,261,0,0,0
0.020629947,6.105633176,107,0,0,0
0.030277889,5.943137145,208,0,0,0
0.020918018,6.040011793,126,0,0,0
0.020337063,6.035676356,87,0,0,0
0.02136823,6.081431094,99,0,0,0
0.01984949,6.151891609,105,0,0,0
0.034797512,5.835673715,86,0,0,0
0.023515382,6.103315012,109,0,0,0
0.02564575,5.904445921,43,0,0,0
0.037227578,5.772050649,78,0,0,0
0.024192399,5.991058866,57,0,0,0
0.019777906,6.153428722,238,0,0,0
0.026460584,6.017438737,84,0,0,0
0.03386779,5.774223557,139,0,0,0
0.021085188,6.08175336,65,0,0,0
0.0351218,5.310016947,63,0,0,0
0.031583273,5.513966276,78,0,0,0
0.030647915,5.629254689,102,1,0,0
0.03249582,5.582223604,51,0,0,0
0.034010777,5.563426356,67,2,0,0
0.035799306,5.074432605,38,0,0,0
0.028743034,5.923999032,104,0,0,0
0.033265614,5.52835108,63,0,0,0
0.028313275,5.678157588,42,0,0,0
0.028736544,5.880944428,208,0,0,0
0.034156409,5.316080587,29,0,0,0
0.029268049,5.846547294,100,0,0,0
0.047717438,4.529378189,21,0,0,0
0.045582457,5.029566129,41,1,0,0
0.038899127,5.212117848,60,0,0,0
0.029991078,5.464786921,65,0,0,0
0.029563763,5.74450318,145,0,0,0
0.025862033,6.006782073,87,0,0,0
0.027499349,5.956925468,87,0,0,0
0.028197289,5.75210117,46,0,0,0
0.026332562,5.801590544,37,0,0,0
0.03682657,6.086855238,1188,0,0,0
0.045911146,4.733628113,46,0,0,0
0.035857257,5.606270885,45,0,0,0
0.029004408,5.737282053,146,2,0,0
0.032401131,5.8854993,65,8,0,0
0.034069858,5.200149467,58,0,0,0
0.057476376,5.348865884,60,0,0,0
0.027082001,5.8607949,72,1,0,0
0.025088178,5.515658378,29,0,0,0
0.026313341,5.996949113,180,2,0,0
0.033731472,5.601353916,70,0,0,0
0.028000674,5.74041867,61,0,0,0
0.025794635,5.785150469,157,1,0,0
0.0299135,5.612757581,114,0,0,0
0.032026038,5.070617116,33,0,0,0
0.032587752,5.051954598,33,0,0,0
0.032876215,5.047588153,33,0,0,0
0.032558673,5.064746675,33,0,0,0
0.032967033,5.039954015,33,0,0,0
0.033296408,5.041323116,33,0,0,0
0.032211527,5.425264491,91,0,0,0
0.031019071,5.469809202,33,0,0,0
0.031911584,5.09153828,33,0,0,0
0.031666397,5.094480481,33,0,0,0
0.031290257,5.11283343,33,0,0,0
0.032385679,5.065769912,33,0,0,0
0.032459314,5.071743878,33,0,0,0
0.031780131,5.095044132,33,0,0,0
0.034664191,5.000434597,33,0,0,0
0.033364284,5.03839108,33,0,0,0
0.026771766,5.37263852,111,0,0,0
0.03274528,5.044883855,33,0,0,0
0.033963369,5.026574142,33,0,0,0
0.030218205,5.322024657,68,0,0,0
0.033788538,5.018059452,33,0,0,0
0.030090856,5.3824666,41,0,0,0
0.027003301,5.828346833,79,0,0,0
0.033319689,5.053843151,33,0,0,0
0.031349758,5.526496395,81,0,0,0
0.031495351,5.089885307,33,0,0,0
0.032965327,5.048720151,33,0,0,0
0.032483082,5.059957941,33,0,0,0
0.027689188,5.520012697,47,0,0,0
0.032146604,5.066360356,33,0,0,0
0.027467969,5.532149321,47,0,0,0
0.032884746,5.082538878,33,0,0,0
0.033896659,5.034400367,33,0,0,0
0.032103871,5.080588836,33,0,0,0
0.032170744,5.064690196,33,0,0,0
0.033835102,5.093073193,39,0,0,0
0.055846626,5.535205543,31,0,0,0
0.074324824,5.650020307,64,1,0,0
0.03267923,5.061701126,33,0,0,0
0.027671914,6.013933694,56,0,0,0
0.031908399,5.10010006,33,0,0,0
0.032313725,5.097262554,33,0,0,0
0.031687491,5.117753211,33,0,0,0
0.031833266,5.092133816,33,0,0,0
0.03184521,5.09417718,33,0,0,0
0.032244358,5.072203467,33,0,0,0
0.032621898,5.055564692,33,0,0,0
0.026676954,5.550410383,111,0,0,0
0.031766537,5.076945712,33,0,0,0
0.032487225,5.060569956,33,0,0,0
0.027804759,5.516855538,111,0,0,0
0.032473316,5.353118014,47,0,0,0
0.03249528,5.056410493,33,0,0,0
0.031780598,5.098847096,33,0,0,0
0.032461368,5.065354356,33,0,0,0
0.034649256,5.020579116,33,0,0,0
0.033888103,5.037107763,33,0,0,0
0.030233645,5.629877671,59,0,0,0
0.032536794,5.061122412,33,0,0,0
0.032140647,5.070538544,33,0,0,0
0.032721443,5.066974205,33,0,0,0
0.032762547,5.056525746,33,0,0,0
0.032445444,5.069010209,33,0,0,0
0.032800165,5.059088289,33,0,0,0
0.031825177,5.069378674,33,0,0,0
0.031607164,5.085954701,33,0,0,0
0.033706755,5.025165056,33,0,0,0
0.033174015,5.042890607,33,0,0,0
0.032823041,5.055652968,33,0,0,0
0.033758841,5.03061056,33,0,0,0
0.02820958,5.831737071,62,0,0,0
0.032864827,5.057032762,33,0,0,0
0.033612779,5.400503218,35,0,0,0
0.033679902,5.030070339,33,0,0,0
0.032276528,5.099946862,33,0,0,0
0.031286043,5.488355431,53,0,0,0
0.033729566,5.037847806,33,0,0,0
0.032405732,5.330371876,33,0,0,0
0.031357447,5.431488887,47,0,0,0
0.032868635,5.056295407,33,0,0,0
0.032951387,5.050389347,33,0,0,0
0.034081536,5.012726645,33,0,0,0
0.033873826,5.01746123,33,0,0,0
0.032738259,5.054441953,33,0,0,0
0.033492502,5.041862447,33,0,0,0
0.031960947,5.078110203,33,0,0,0
0.032627778,5.069961305,33,0,0,0
0.032673392,5.060486492,33,0,0,0
0.026237242,5.654554935,33,0,0,0
0.031895999,5.072391705,33,0,0,0
0.033827595,5.035196209,33,0,0,0
0.033713326,5.041575055,33,0,0,0
0.028880363,5.461999188,44,0,0,0
0.027661706,5.755599038,48,0,0,0
0.027940048,5.529703936,47,0,0,0
0.03181348,5.085745023,33,0,0,0
0.032093933,5.083418096,33,0,0,0
0.030956099,5.129881121,33,0,0,0
0.031646422,5.419182901,88,0,0,0
0.031207877,5.562347641,66,0,0,0
0.038945484,5.06494735,129,0,0,0
0.033530894,5.44746763,168,0,0,0
0.029057687,5.505910354,66,0,0,0
0.029381257,5.630565673,273,2,0,0
0.034233851,5.244440398,53,0,0,0
0.032124542,5.757761417,106,2,0,0
0.029029265,5.603813542,99,4,0,0
0.028911409,5.559672045,66,0,0,0
0.028633006,5.579432896,66,0,0,0
0.031718695,5.417536659,142,0,0,0
0.029595314,5.698175039,53,0,0,0
0.028499044,5.678016352,102,4,0,0
0.027234214,5.55049619,124,0,0,0
0.033610342,4.996393557,31,0,0,0
0.029298961,5.660671032,126,6,0,0
0.031316669,5.395369559,66,0,0,0
0.032300507,5.302431643,66,0,0,0
0.032879743,5.385157716,55,0,0,0
0.030710511,5.468343923,69,0,0,0
0.035673673,5.209164512,68,0,0,0
0.031899397,5.2501402,66,0,0,0
0.027032172,5.783787954,121,0,0,0
0.031443806,5.363021982,48,0,0,0
0.028194816,5.672336747,131,6,0,0
0.028576166,5.72817673,152,1,0,0
0.027704415,5.632837439,104,4,0,0
0.024364893,5.740931827,150,0,0,0
0.032568627,5.628984953,72,0,0,0
0.031570146,5.659957272,43,0,0,0
0.030489974,5.580496251,45,0,0,0
0.033186062,5.472607905,36,0,0,0
0.023987605,5.862971462,246,1,0,0
0.030621646,5.806987617,59,2,0,0
0.031875109,5.248274114,64,0,0,0
0.028958996,5.285361097,122,0,0,0
0.032325034,5.201463638,64,0,0,0
0.037962571,5.332465233,74,0,0,0
0.032303047,5.226512187,64,0,0,0
0.031603207,5.289744122,74,0,0,0
0.033325809,5.244054392,67,0,0,0
